CAS,Element,Mass,Dipole Moment,Polarizability,PA,IE
117-99-7,2-hydroxybenzophenone,198.22,4.26,23.39,218.57,8.39
643-65-2,3-methylbenzophenone,196.24,3.62,24.73,217.95,8.51
134-84-9,4-methylbenzophenone,196.24,3.53,25.08,219.67,8.49
2128-93-0,4-phenylbenzophenone,258.3,3.32,33.22,225.52,8.55
131-57-7,2-hydroxy-4-methoxybenzophenone,228.24,4.29,26.74,191.45,8.05
606-28-0,methyl-2-benzoylbenzoate,240.25,4.46,27.04,216.81,8.63
1143-72-2,"2,3,4-trihydroxybenzophenone",230.22,4.49,25.13,186.24,8.13
131-53-3,"2,2-dihydroxy-4-methoxybenzophenone",244.24,5.59,27.35,217.36,7.88
85-19-8,5-chloro-2-hydroxybenzophenone,232.66,2.41,25.91,211.88,8.33
84-66-2,diethyl phthalate,222.24,3.67,23.16,202.56,9.05
120-51-4,benzyl benzoate,212.24,2.34,25.05,205.94,8.87
84-69-5,disobutyl phthalate,278.34,3.82,30.49,204.78,8.99
84-74-2,dibutyl phthalate,278.34,3.96,30.17,204.61,9.03
117-82-8,bis (2-methoxyethyl) phthalate,282.29,4.90,28.19,220.65,8.68
605-54-9,bis (2-ethoxyethyl) phthalate,310.34,3.85,31.98,209.44,8.56
131-11-3,dimethyl phthalate,194.18,3.38,19.42,199.15,9.16
947-19-3,1-Hydroxycyclohexyl Phenyl Ketone,204.26,1.40,22.88,208.53,8.65
525-82-6,Flavone,222.24,4.49,28.11,226.91,8.28
131-18-0,dipentyl phthalate,306.4,3.79,33.74,204.59,9.01
85-68-7,benzyl butyl phthalate,312.4,3.87,35.31,205.19,8.6
84-63-9,Bis (4-methyl-2-pentyl) phthalate,334.4,0.84,37.36,213.97,8.9
84-75-3,Di-n-hexyl phthalate,334.4,3.92,37.61,217.23,9.11
117-83-9,Bis (2-n-butoxyethyl) phthalate,366.4,3.24,39.74,224.77,8.58
84-61-7,dicyclohexyl phthalate,330.4,3.66,35.99,213.13,8.85
117-81-7,di(2-ethylhexyl) phthalate,390.6,4.91,44.47,217.94,8.88
90-00-6,2-ethylphenol,122.16,1.10,14.46,,8.24
25154-52-3,2-nonylphenol,220.35,1.15,27.73,,8.09
644-35-9,2-propylphenol,136.19,1.14,16.4,,8.19
104-40-5,4-nonylphenol,220.35,1.45,27.83,,7.98
1806-26-4,4-octylphenol,206.32,1.46,25.94,,7.99
290-67-5,"1,4-dioxin ",84.1,0.00,7.29,,7.85
39227-54-8,2-chlorodibenzo-p-dioxin,218.6,2.08,23.75,,7.55
57653-85-7,"1,2,3,6,7,8-hexachlorodibenzo-p-dioxin ",390.9,0.00,34.5,,7.96
35822-46-9,"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",425.3,0.90,36.5,,8.04
40321-76-4,"1,2,3,7,8-pentachlorodibenzo-p-dioxin",356.4,1.01,32.5,,7.88
39227-28-6,"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",390.9,0.21,34.56,,7.96
3268-87-9 ,Octachlorodibenzo-p-dioxin,459.7,0.00,38.5,,8.11
19408-74-3 ,"1,2,3,7,8,9-hexachlorodibenzo-p-dioxin",390.9,1.89,34.41,,7.96
72918-21-9,"1,2,3,7,8,9-hexachlorodibenzofuran",374.9,2.19,34.55,,8.48
70648-26-9,"1,2,3,4,7,8-hexachlorodibenzofuran",374.9,0.38,34.78,,8.37
57117-44-9,"1,2,3,6,7,8-hexachlorodibenzofuran",374.9,0.74,34.72,,8.42
57117-41-6,"1,2,3,7,8-pentachlorodibenzofuran",340.4,1.49,32.64,,8.32
57117-31-6,"2,3,4,7,8-pentachlorodibenzofuran ",340.4,0.67,32.88,,8.35
51207-31-9,"2,3,7,8-tetrachlorodibenzofuran ",306,0.50,30.82,,8.26
67562-39-4,"1,2,3,4,6,7,8-heptachlorodibenzofuran",409.3,0.69,36.79,,8.45
39001-02-0,Octachlorodibenzofuran,443.7,0.13,38.75,,8.47
55673-89-7,"1,2,3,4,7,8,9-heptachlorodibenzofuran",409.3,1.15,36.68,,8.43
60851-34-5,"2,3,4,6,7,8-hexachlorodibenzofuran",374.9,1.56,34.88,,8.44
262-12-4,"Dibenzo-1,4-dioxin",184.2,0.00,21.51,,7.43
1746-01-6,"2,3,7,8-tetrachlorodibenzo-p-dioxin",322,0.00,30.52,,7.8
